userId,movieId
0,6473
1,7060
1,4499
1,662
2,3102
3,1423
4,1769
5,7322
5,9605
5,23
5,7289
5,7815
5,2535
5,12823
5,12524
5,10068
5,993
5,7700
5,9754
5,7746
5,3751
5,9750
6,2097
7,2320
7,11273
7,10621
7,11232
7,10809
7,11182
7,2290
8,9923
9,9843
10,9220
11,4182
11,4223
12,8523
12,13015
13,5516
14,14170
15,11122
15,10838
15,571
15,5685
15,10825
15,7135
15,6444
15,6604
16,371
16,7136
16,7200
16,8091
16,6502
16,2437
16,2255
16,694
17,3382
17,5208
17,1734
18,4987
18,9181
18,14230
18,13843
19,9640
20,965
20,9150
20,4689
20,2141
20,13630
20,11766
20,4853
20,4991
20,13631
20,6660
20,4997
20,10446
20,8901
20,1307
20,8805
20,12678
20,5007
20,13761
20,8580
20,4860
20,321
20,8813
20,13810
20,8638
20,1674
20,1563
20,12849
20,8769
20,9087
20,12571
20,1489
20,13723
20,10292
20,12869
20,2204
21,10611
22,10149
23,1911
23,5280
23,4453
24,8477
24,12715
24,8554
24,8578
24,3965
24,5318
24,5772
24,869
24,12243
24,3885
24,10828
24,1325
24,4811
24,8608
24,9592
24,11750
24,9852
24,11488
24,1791
24,14340
24,4728
24,4801
24,8519
24,10326
24,1400
24,1424
24,3940
24,4423
24,5699
24,8461
24,10737
24,12034
24,1392
24,7545
24,9532
25,1519
25,1610
26,10926
26,10997
27,2882
27,5509
27,5418
27,14333
27,2934
27,12784
27,7956
27,5063
27,12939
27,14281
27,6156
27,9948
27,13486
27,2444
27,12887
27,8379
27,5384
27,9480
27,10956
27,6268
27,7534
27,3669
27,12944
27,716
27,11102
27,3792
27,2582
27,5745
27,7578
27,13509
27,12960
27,9599
27,512
27,2835
27,14232
27,21
27,7982
27,1018
27,9444
27,13842
27,3768
27,13503
27,5399
27,9379
27,3719
27,9039
27,12675
27,8815
27,739
27,5077
27,5363
27,9728
27,5349
27,3733
27,8212
27,2381
27,10186
27,8151
27,11111
27,7541
27,9889
27,2724
27,7579
27,458
27,7943
27,7944
27,7312
27,2558
27,13514
27,6438
27,7519
27,8088
27,2098
28,10671
29,7102
29,365
30,11769
30,13354
30,9700
30,13628
30,13222
30,6326
30,2705
30,14033
30,12575
30,6042
30,2494
