userId,paperId
1,31995
1,31613
1,33527
2,31336
3,32264
3,33165
4,34026
5,32392
5,24166
5,11743
6,32320
6,34724
7,32555
7,32254
8,25528
8,31843
8,32623
9,4796
9,33277
9,34238
10,33209
10,33019
10,33500
10,34662
10,33009
11,32800
11,34772
12,16144
12,35156
12,20534
12,23495
12,925
12,8333
12,31327
13,32928
13,34657
13,34658
13,33211
13,34288
13,34903
13,34635
13,34287
14,32093
15,4385
15,19595
15,32551
15,27607
15,4530
15,15952
15,26386
15,1396
15,34775
15,4538
15,8283
15,2333
16,34021
17,8955
17,32870
17,3223
17,31208
17,20377
17,30539
17,15549
17,32750
18,26004
18,33045
18,1797
18,32077
18,32012
18,32796
18,15821
18,35934
18,34687
19,1840
19,27264
19,1810
19,3043
19,31694
19,1777
19,16584
19,3049
19,970
19,844
19,94
20,34026
21,34652
21,32710
22,124
22,33291
22,34716
22,34251
22,31863
23,30528
23,33032
24,33610
24,31772
25,30208
25,19745
25,31218
25,31219
25,1636
25,31078
25,32870
25,31024
25,31023
26,33064
26,32786
26,29987
26,31332
26,35059
26,3576
26,31458
26,11850
26,30498
26,15758
26,32335
27,31590
28,35318
28,8999
28,35049
28,3594
28,30029
28,19000
28,32312
28,34292
28,32638
28,20790
28,32600
28,32441
28,32254
28,32991
29,27264
29,3043
29,168
29,3049
29,3659
29,844
29,31694
29,1840
29,1777
29,1810
29,31293
29,94
30,32790
31,32696
32,32691
33,33689
33,31774
33,34675
33,35565
33,32766
34,4994
34,31204
34,27622
34,31622
34,25703
34,31372
34,31631
34,32368
34,35345
34,2963
34,852
34,31224
34,32985
34,34877
34,33470
35,9100
35,31467
35,19540
35,4267
35,26094
36,31489
36,33115
36,34773
36,30417
36,23530
36,32407
36,32797
37,31634
37,19523
37,33476
37,5411
37,33498
37,30863
37,18957
37,31661
38,13667
38,30981
38,15782
38,25529
38,30472
38,15897
38,32969
38,8780
38,31374
39,19072
39,12161
39,31427
39,32395
39,11521
39,15751
39,29998
39,8273
39,32406
39,32695
39,15612
39,29975
39,16241
40,31680
40,2448
40,34275
40,26054
40,552
40,31871
40,2956
40,33552
40,1330
40,31571
40,31835
40,34239
41,27464
41,13713
41,26167
41,32287
42,3745
42,1221
42,20644
42,357
42,5002
42,32196
42,4274
42,20590
42,3629
42,32402
42,275
42,3924
42,20740
42,59
42,414
42,2815
43,11906
43,9987
43,16072
43,12234
43,655
43,20172
43,19213
43,33230
43,27279
43,375
43,32376
43,31442
43,25539
43,26256
43,31438
43,34649
43,12634
43,32347
43,32476
43,20126
43,15583
43,33136
43,12450
43,26531
43,32874
43,32943
43,32238
43,23663
43,12016
43,32520
43,11827
43,32503
43,31480
43,35578
43,1724
43,8574
43,26261
44,31490
44,23556
44,26759
44,13386
44,8333
44,33040
44,30866
44,24531
44,23300
44,11868
44,9824
44,16144
44,18980
44,26985
44,17642
44,23495
44,32306
44,19182
44,32560
44,9906
44,15990
44,30265
44,379
45,26128
45,34023
45,35410
45,32091
45,34773
45,35447
45,31146
45,25351
45,32797
45,32687
46,26945
46,26434
46,1219
46,24776
46,10312
46,25418
46,23115
46,21516
46,30029
46,31760
46,30737
46,11538
46,31702
46,25943
46,2904
46,30795
46,34292
46,12968
46,20529
46,10484
46,32638
46,11896
46,25913
46,8380
46,32254
47,3651
47,519
47,34668
47,35468
47,17486
47,19152
47,8211
47,34968
47,32793
47,19483
47,8861
47,32478
47,23647
47,30433
47,32656
47,21542
47,33190
47,33000
47,11308
47,30449
47,13203
47,25525
47,35455
48,3396
48,31830
48,30963
48,2634
48,31243
48,34274
48,33849
48,35926
48,35863
48,34238
48,32603
48,1151
48,23649
48,4578
48,2043
48,33973
48,2022
48,34279
48,30955
48,31277
48,34798
48,32240
48,9522
48,34739
48,32086
48,31870
48,31223
48,2680
48,27378
48,32507
48,4926
48,1919
49,11745
49,31202
49,2502
49,9542
49,10823
49,2055
49,461
49,12878
49,15665
49,2547
49,31607
49,4121
49,19738
49,2341
49,30398
49,26431
50,30275
50,11526
50,30087
50,31433
50,18950
50,18955
50,9165
50,33232
50,12498
50,30403
50,30036
50,19861
50,32662
50,34711
50,31842
50,32481
50,8737
50,12834
50,13093
50,8679
50,12776
50,13162
50,12592
50,31857
50,8882
50,31859
50,17269
50,31485
50,10622
51,32476
51,32943
52,32256
52,32519
53,29990
53,31415
54,32290
54,2892
55,30059
55,34748
55,32782
56,32691
57,35585
57,30044
57,32654
57,23713
58,30450
58,32253
59,34820
60,33200
60,32432
60,34160
60,34733
60,31569
61,32800
61,32771
61,32076
61,31532
61,30446
61,30575
61,34770
61,30051
61,34678
61,35095
61,32281
61,33822
61,15737
62,31001
62,32589
62,31837
62,2605
63,35072
63,34743
63,30104
63,15834
63,32791
63,15501
64,30080
64,33008
64,30499
64,15626
64,32811
64,32410
64,34763
65,8514
65,19047
65,33058
65,32823
65,19079
65,32781
66,20598
66,22486
66,33178
66,30556
66,34477
66,32590
66,4479
67,31874
67,31882
68,4385
68,33091
68,32260
69,33200
69,32432
69,34160
69,34145
69,33656
69,34167
69,31569
70,9281
70,22660
70,1942
70,17288
70,21577
70,13452
70,8461
70,8272
70,19515
70,5202
70,26963
70,32020
70,3670
70,22999
70,388
70,4708
70,31034
70,8288
70,31984
70,19042
70,16099
70,2340
70,21285
70,24460
70,12784
70,10632
70,9394
70,32949
70,20536
70,25081
70,31482
70,9403
70,18684
70,8637
70,17599
71,33410
71,33011
71,34019
71,31299
71,32890
71,32588
71,5342
71,9695
72,32551
73,32261
74,32196
74,19234
74,25708
74,32402
75,34944
75,34899
75,34260
75,30958
75,3942
75,30135
75,34246
75,35801
75,35690
75,32318
76,1040
76,175
76,34379
76,15668
76,1397
76,33063
76,5053
76,8681
76,31627
76,20381
76,30253
77,33137
77,11602
77,32723
77,31396
77,32742
77,33185
77,35352
77,32521
77,35338
77,32701
78,4912
78,23672
78,31634
78,33476
78,30245
78,15601
78,20440
78,23164
78,12458
78,19916
78,25354
79,3296
79,20801
79,20803
79,32196
79,33889
79,23463
79,3400
79,3420
79,128
79,31659
79,33389
79,15597
79,27090
79,33649
79,3277
79,1875
79,30873
79,30691
79,32540
79,3295
80,32345
80,30998
80,20252
80,30453
80,32470
81,9233
81,15944
81,1899
81,12878
81,33429
81,5080
81,31317
81,15896
81,25557
81,32539
81,12094
81,13397
82,26112
82,32324
82,19082
82,15818
82,32038
82,15613
82,15635
82,31316
82,16085
82,33047
82,32664
82,30811
82,5020
82,33629
82,31198
82,17456
82,23358
82,33188
82,32869
82,32806
82,23146
82,32043
82,19500
82,30813
82,32925
82,25712
82,32083
82,33651
82,24605
82,31188
82,34111
82,23356
82,29962
82,9022
82,23615
83,33345
83,33666
83,31621
83,34503
83,32522
83,35275
83,31567
83,34704
83,31633
83,3922
83,5076
83,31573
83,31576
83,32591
83,29980
83,21665
83,30179
83,21544
83,32172
83,34797
83,33775
83,32888
83,3449
83,31290
83,3131
83,30140
84,31322
84,32707
84,30438
84,34830
85,30123
85,5100
85,10695
85,4599
85,22889
85,31659
85,31340
85,11917
85,2889
85,10768
85,2546
85,566
85,31639
85,10520
85,10521
85,20315
85,3356
85,4927
